2026-07-01 08:21:05 | INFO     | app:3 | 🎬 [MASTER] Hệ thống Logger toàn cục theo phiên đã kích hoạt!
2026-07-01 08:21:06 | INFO     | app:78 | ==================================================
2026-07-01 08:21:06 | INFO     | app:79 |  🌟 Face Recognition Attendance System (Flask + FastAPI)
2026-07-01 08:21:06 | INFO     | app:80 | ==================================================
2026-07-01 08:21:06 | INFO     | app:70 | 🚀 Đang khởi động hệ thống...
2026-07-01 08:21:06 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:21:06 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:21:06 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:21:06 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:21:07 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.90.11:8000
2026-07-01 08:21:07 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:21:07 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:21:09 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 192.168.1.11:8000
2026-07-01 08:21:12 | INFO     | app:101 |  🚀 Đang chạy Server tại: http://localhost:5000
2026-07-01 08:21:12 | DEBUG    | proactor_events:634 | Using proactor: IocpProactor
2026-07-01 08:21:12 | INFO     | websocket_service:48 | 🛸 [MASTER] Trạm thu thập AI đã mở tại cổng 5558, chờ Worker ném data tới...
2026-07-01 08:21:16 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:21:16 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:21:16 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:21:16 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:21:17 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:21:26 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:21:26 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:21:26 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:21:26 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:21:32 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:21:36 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:21:36 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:21:36 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:21:36 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:21:42 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:21:46 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:21:46 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:21:46 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:21:46 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:21:56 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:21:56 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:21:56 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:21:56 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:21:57 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:22:06 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:22:06 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:22:06 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:22:06 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:22:07 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:22:16 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:22:16 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:22:16 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:22:16 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:22:17 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:22:22 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:22:26 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:22:26 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:22:26 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:22:26 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:22:32 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:22:36 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:22:36 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:22:36 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:22:36 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:22:46 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:22:46 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:22:46 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:22:46 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:22:47 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:22:56 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:22:56 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:22:56 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:22:56 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-07-01 08:22:57 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-07-01 08:23:07 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-07-01 08:23:07 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-07-01 08:23:07 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-07-01 08:23:07 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
