2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_004', 'cam_id': 'cam_003', 'boxes': [{'id': 4, 'name': 'Unknown (ID 4)', 'x': 1925, 'y': 156, 'w': 103, 'h': 339, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_014', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_006', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_011', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_009', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_006', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_002', 'boxes': [{'id': 9, 'name': 'Unknown (ID 9)', 'x': 301, 'y': 1198, 'w': 387, 'h': 239, 'orig_w': 2560, 'orig_h': 1440}, {'id': 20, 'name': 'Unknown (ID 20)', 'x': 1366, 'y': 130, 'w': 88, 'h': 278, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_005', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_006', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_004', 'cam_id': 'cam_003', 'boxes': [{'id': 4, 'name': 'Unknown (ID 4)', 'x': 1917, 'y': 156, 'w': 104, 'h': 341, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_007', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_010', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_015', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_004', 'cam_id': 'cam_003', 'boxes': [{'id': 4, 'name': 'Unknown (ID 4)', 'x': 1912, 'y': 154, 'w': 106, 'h': 345, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_002', 'boxes': [{'id': 20, 'name': 'Unknown (ID 20)', 'x': 1370, 'y': 130, 'w': 89, 'h': 282, 'orig_w': 2560, 'orig_h': 1440}, {'id': 9, 'name': 'Unknown (ID 9)', 'x': 301, 'y': 1198, 'w': 388, 'h': 239, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_015', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_014', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_011', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_008', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_014', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_004', 'cam_id': 'cam_003', 'boxes': [{'id': 4, 'name': 'Unknown (ID 4)', 'x': 1910, 'y': 154, 'w': 107, 'h': 346, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_009', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_011', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_006', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_009', 'boxes': []}
