2026-06-26 11:44:44 | INFO     | app:3 | 🎬 [MASTER] Hệ thống Logger toàn cục theo phiên đã kích hoạt!
2026-06-26 11:44:45 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.11:8000
2026-06-26 11:44:45 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.11:8000
2026-06-26 11:44:45 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 11:44:45 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 11:44:48 | INFO     | _internal:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.40.91.11:5000
2026-06-26 11:44:48 | INFO     | _internal:97 | [33mPress CTRL+C to quit[0m
2026-06-26 11:44:48 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 11:44:56 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 11:44:59 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 11:45:03 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 22.6, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.64}
2026-06-26 11:45:03 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 11:45:03] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 11:45:06 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 11:45:07 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.11:8000
2026-06-26 11:45:09 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 19.5, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.64}
2026-06-26 11:45:09 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 11:45:09] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 11:45:10 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 11:45:15 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 16.4, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.64}
2026-06-26 11:45:15 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 11:45:15] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 11:45:17 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 11:45:21 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 28.2, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.64}
2026-06-26 11:45:21 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 11:45:21] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 11:45:23 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
